date_today,store_id,pr_sku_id,pr_group_id,pr_cat_id,pr_subcat_id,pr_uom_id,st_city_id,st_division_code,st_type_format_id,st_type_loc_id,st_type_size_id,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17
2023-07-18,c81e728d9d4c2f636f067f89cc14862c,c7b711619071c92bef604c7ad68380dd,aab3238922bcc25a6f606eb525ffdc56,28fc2782ea7ef51c1104ccf7b9bea13d,d29b5ce9c2883f0b7e90f79071a2ca82,1,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,1,1,8,23.0,25.0,22.0,26.0,26.0,25.0,18.0,26.0,20.0,19.0,28.0,22.0,20.0,12.0,22.0,14.0,10.0,24.0,42.0,18.0,16.0
2023-07-18,1ecfb463472ec9115b10c292ef8bc986,22988026fe85fde60d8bf777ab6bc3b4,c74d97b01eae257e44aa9d5bade97baf,f3173935ed8ac4bf073c1bcd63171f8a,5fd72b9fc7118bd36a137d7cea8c588a,17,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,2,1,28,10.0,9.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-07-18,42a0e188f5033bc65bf8d78622277c4e,8e887cf8e64ab8e7173701a979476567,aab3238922bcc25a6f606eb525ffdc56,28fc2782ea7ef51c1104ccf7b9bea13d,a13b7a6b8e80d44d044c257a08ecccca,1,b8b4b727d6f5d1b61fff7be687f7970f,da742b3cfca5388aaf9af28a726a3c30,1,1,12,9.0,2.0,2.0,5.0,6.0,8.0,8.0,7.0,10.0,11.0,8.0,14.0,10.0,4.0,10.0,3.0,3.0,3.0,5.0,12.0,4.0
2023-07-18,16a5cdae362b8d27a1d8f8c7b78b4330,e6fc24ca846339d204b0b50e9f772484,c74d97b01eae257e44aa9d5bade97baf,a368b0de8b91cfb3f91892fbf1ebd4b2,0d51481bbf77027ddb2c990cf97cd9dd,1,c1f75cc0f7fe269dd0fd9bd5e24f9586,296bd0cc6e735f9d7488ebc8fbc19130,1,2,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2023-07-18,42a0e188f5033bc65bf8d78622277c4e,3474f0e025c7deb7e127a35763bc5512,c74d97b01eae257e44aa9d5bade97baf,1bc0249a6412ef49b07fe6f62e6dc8de,ca34f669ae367c87f0e75dcae0f61ee5,17,b8b4b727d6f5d1b61fff7be687f7970f,da742b3cfca5388aaf9af28a726a3c30,1,1,12,4.0,8.0,6.0,14.0,9.0,6.0,10.0,4.0,4.0,11.0,7.0,7.0,8.0,4.0,4.0,4.0,15.0,15.0,13.0,9.0,7.0
2023-07-18,f7e6c85504ce6e82442c770f7c8606f0,b75c7cbf7accdaea8a1a14781bb29870,aab3238922bcc25a6f606eb525ffdc56,28fc2782ea7ef51c1104ccf7b9bea13d,d29b5ce9c2883f0b7e90f79071a2ca82,1,3202111cf90e7c816a472aaceb72b0df,32586311f16876abf92901085bd87b99,1,1,12,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2023-07-18,1ecfb463472ec9115b10c292ef8bc986,f5c4b08ce07d102062c2947967ad750e,c74d97b01eae257e44aa9d5bade97baf,c559da2ba967eb820766939a658022c8,34d2777e78ccf007523e2dd1fcea6b2d,17,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,2,1,28,7.0,0.0,0.0,17.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,5.0,0.0,0.0,0.0
2023-07-18,1ecfb463472ec9115b10c292ef8bc986,c2155d600945587d417fe45ba5bf6d57,aab3238922bcc25a6f606eb525ffdc56,3de2334a314a7a72721f1f74a6cb4cee,0f3abfd67959c079e7b3759440e7415c,17,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,2,1,28,0.0,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,5.0,2.0,2.0
2023-07-18,16a5cdae362b8d27a1d8f8c7b78b4330,de37768f69fca7176ecddcb7e2b320ac,c74d97b01eae257e44aa9d5bade97baf,c559da2ba967eb820766939a658022c8,41b1d51c9e3ba9a263361f9cfa0eb434,17,c1f75cc0f7fe269dd0fd9bd5e24f9586,296bd0cc6e735f9d7488ebc8fbc19130,1,2,8,6.0,0.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0
2023-07-18,42a0e188f5033bc65bf8d78622277c4e,58ebafabd92e2e3a80d86b7bb7e88eda,aab3238922bcc25a6f606eb525ffdc56,28fc2782ea7ef51c1104ccf7b9bea13d,7a8aebb07d6e8ba9da453ec0f3f359a4,1,b8b4b727d6f5d1b61fff7be687f7970f,da742b3cfca5388aaf9af28a726a3c30,1,1,12,3.0,4.0,2.0,15.0,28.0,11.0,5.0,7.0,4.0,12.0,15.0,4.0,4.0,11.0,15.0,5.0,8.0,11.0,19.0,17.0,8.0
2023-07-18,f7e6c85504ce6e82442c770f7c8606f0,67dcedaa1090d67cef7afe3fb36945b0,aab3238922bcc25a6f606eb525ffdc56,28fc2782ea7ef51c1104ccf7b9bea13d,b3e70d072fc648f6934c288e44f5c35e,1,3202111cf90e7c816a472aaceb72b0df,32586311f16876abf92901085bd87b99,1,1,12,1.0,3.0,3.0,6.0,3.0,2.0,5.0,3.0,5.0,1.0,10.0,4.0,1.0,5.0,3.0,3.0,5.0,4.0,10.0,2.0,0.0
2023-07-18,42a0e188f5033bc65bf8d78622277c4e,282984b385d80166ba0d4f32a7843f53,c74d97b01eae257e44aa9d5bade97baf,f3173935ed8ac4bf073c1bcd63171f8a,4bc94de7bab27a1c3a9cd3ba68199f55,1,b8b4b727d6f5d1b61fff7be687f7970f,da742b3cfca5388aaf9af28a726a3c30,1,1,12,2.0,4.0,2.0,3.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,4.0
2023-07-18,c81e728d9d4c2f636f067f89cc14862c,930569d31168ec975f903e5dc06e8deb,c74d97b01eae257e44aa9d5bade97baf,c559da2ba967eb820766939a658022c8,e06f5ed77191826c212c30722f2cc5a2,17,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,1,1,8,7.0,9.0,11.0,9.0,3.0,3.0,7.0,7.0,4.0,6.0,1.0,6.0,9.0,4.0,4.0,3.0,9.0,5.0,12.0,7.0,12.0
2023-07-18,1ecfb463472ec9115b10c292ef8bc986,f84ce1249cc0588fe9cddeaac0f3ae50,aab3238922bcc25a6f606eb525ffdc56,46771d1f432b42343f56f791422a4991,85f002cb15e42f0262338886dd29bf1e,17,908c9a564a86426585b29f5335b619bc,429a86ff6336c144ddaf6144f52ab52c,2,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0
